question,prompt,generated_text,pred_answer,gold_answer,is_correct
What did Nancy try to do before she fell over?,"Question: What did Nancy try to do before she fell over? 

Options:
A) Measure the depth of the river
B) Look for a fallen tree trunk
C) Protect her cows from being drowned
D) Run away from the flooded farm

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What did Nancy try to do before she fell over? 

Options:
A) Measure the depth of the river
B) Look for a fallen tree trunk
C) Protect her cows from being drowned
D) Run away from the flooded farm

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
The following are true according to the passage except  _  .,"Question: The following are true according to the passage except  _  . 

Options:
A) It took Lizzie and Nancy about 20 minutes to get to safety.
B) It was raining harder when Nancy managed to get up.
C) The bad weather made it difficult for rescuers to find Nancy.
D) Nancy took hold of the rope and climbed into the helicopter.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The following are true according to the passage except  _  . 

Options:
A) It took Lizzie and Nancy about 20 minutes to get to safety.
B) It was raining harder when Nancy managed to get up.
C) The bad weather made it difficult for rescuers to find Nancy.
D) Nancy took hold of the rope and climbed into the helicopter.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,D,True
What did the local people do to help those in the flooded area according to the passage?,"Question: What did the local people do to help those in the flooded area according to the passage? 

Options:
A) They put up shelter for them in a school.
B) They used helicopters to help carry cows.
C) They helped farmers gather their cows.
D) They set up an organization called Red Cross.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What did the local people do to help those in the flooded area according to the passage? 

Options:
A) They put up shelter for them in a school.
B) They used helicopters to help carry cows.
C) They helped farmers gather their cows.
D) They set up an organization called Red Cross.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
The passage tells us that   _  .,"Question: The passage tells us that   _  . 

Options:
A) our values and lifestyles are in no field of human activity
B) the clothes that we choose to wear have something to do with our values and lifestyles
C) our values and lifestyles are from the sign language
D) the clothes we choose to wear depend on a set of information and immediate impression

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage tells us that   _  . 

Options:
A) our values and lifestyles are in no field of human activity
B) the clothes that we choose to wear have something to do with our values and lifestyles
C) our values and lifestyles are from the sign language
D) the clothes we choose to wear depend on a set of information and immediate impression

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
"Traditionally,people usually thought that   _  .","Question: Traditionally,people usually thought that   _  . 

Options:
A) men cared very much for clothes
B) women were concerned greatly about what they wore while men didn't
C) both men and women paid great attention to their clothes
D) neither men nor women showed interest in clothes

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Traditionally,people usually thought that   _  . 

Options:
A) men cared very much for clothes
B) women were concerned greatly about what they wore while men didn't
C) both men and women paid great attention to their clothes
D) neither men nor women showed interest in clothes

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
Blue collar workers pay attention to their clothes because   _  .,"Question: Blue collar workers pay attention to their clothes because   _  . 

Options:
A) they are concerned about the impression their clothes make on their superiors
B) they know very clearly that people will judge them on the basis of their clothing
C) they want to impress and influence others
D) they don't want to be laughed at

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Blue collar workers pay attention to their clothes because   _  . 

Options:
A) they are concerned about the impression their clothes make on their superiors
B) they know very clearly that people will judge them on the basis of their clothing
C) they want to impress and influence others
D) they don't want to be laughed at

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,D,False
The passage mainly suggests that   _  .,"Question: The passage mainly suggests that   _  . 

Options:
A) now men pay more attention to their clothes than women do
B) women always like beautiful dresses
C) people have paid more and more attention to the importance of dress
D) American culture is changing greatly

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage mainly suggests that   _  . 

Options:
A) now men pay more attention to their clothes than women do
B) women always like beautiful dresses
C) people have paid more and more attention to the importance of dress
D) American culture is changing greatly

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,C,False
Tommy's mother felt surprised that his son  _  .,"Question: Tommy's mother felt surprised that his son  _  . 

Options:
A) was still the same as usual
B) ate so much at dinner
C) kissed her hello after school
D) worked hard but said little

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Tommy's mother felt surprised that his son  _  . 

Options:
A) was still the same as usual
B) ate so much at dinner
C) kissed her hello after school
D) worked hard but said little

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
The last sentence in the passage shows that  _  .,"Question: The last sentence in the passage shows that  _  . 

Options:
A) Tommy felt sorry for the man
B) Tommy was afraid of being nailed
C) Tommy didn't like the plus sign
D) Tommy liked playing jokes on others

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The last sentence in the passage shows that  _  . 

Options:
A) Tommy felt sorry for the man
B) Tommy was afraid of being nailed
C) Tommy didn't like the plus sign
D) Tommy liked playing jokes on others

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,B,True
"From the passage, we can infer that  _  .","Question: From the passage, we can infer that  _  . 

Options:
A) teachers should be strict with their students
B) mistakes might do good sometimes
C) a catholic school is much better than other ones
D) nuns are good at helping children with their math

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: From the passage, we can infer that  _  . 

Options:
A) teachers should be strict with their students
B) mistakes might do good sometimes
C) a catholic school is much better than other ones
D) nuns are good at helping children with their math

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
What did the author do while Richard was talking in the business conference?,"Question: What did the author do while Richard was talking in the business conference? 

Options:
A) He kept notes for things that he did not agree with.
B) He pushed Richard and beat him.
C) He was preparing for his own speech.
D) He was getting ready to compliment him.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What did the author do while Richard was talking in the business conference? 

Options:
A) He kept notes for things that he did not agree with.
B) He pushed Richard and beat him.
C) He was preparing for his own speech.
D) He was getting ready to compliment him.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,A,False
