sample_index,question,prompt,generated_text,pred_answer,gold_answer,is_correct
0,What did Nancy try to do before she fell over?,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: What did Nancy try to do before she fell over?

Options:
A) Measure the depth of the river
B) Look for a fallen tree trunk
C) Protect her cows from being drowned
D) Run away from the flooded farm


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nA) She measured the depth of the river.""}]",A,C,False
1,The following are true according to the passage except  _  .,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: The following are true according to the passage except  _  .

Options:
A) It took Lizzie and Nancy about 20 minutes to get to safety.
B) It was raining harder when Nancy managed to get up.
C) The bad weather made it difficult for rescuers to find Nancy.
D) Nancy took hold of the rope and climbed into the helicopter.


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nSolution:\nThe correct answer is D. It was raining harder when Nancy managed to get up. The reason is that in Option A, Lizzie and Nancy had to wait for 20 minutes for the rescue helicopter to reach them. In Option B, Nancy had to wait for 20 minutes for the rescue helicopter to reach her. In Option C, the bad weather made it difficult for rescuers to find Nancy. In Option D, the helicopter had to wait for 20 minutes for Nancy to get into the helicopter.""}]",D,D,True
2,What did the local people do to help those in the flooded area according to the passage?,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: What did the local people do to help those in the flooded area according to the passage?

Options:
A) They put up shelter for them in a school.
B) They used helicopters to help carry cows.
C) They helped farmers gather their cows.
D) They set up an organization called Red Cross.


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\n### Text\n\nYou are an excellent teacher. One of your students wants to ask you a question.\n\nQuestion: What did the local people do to help those in the flooded area according to the passage?\n\nOptions:\nA) They put up shelter for them in a school.\nB) They used helicopters to help carry cows.\nC) They helped farmers gather their cows.\nD) They set up an organization called Red Cross.\n\n### Text\n\nOne of the things that you do is to help your students understand the English language. You are an excellent teacher. One of your students wants to ask you a question. \n\nQuestion: What did the local people do to help those in the flooded area according to the passage?\n\nOptions:\nA) They put up shelter for them in a school.\nB) They used helicopters to help carry cows.\nC) They helped farmers gather their cows.\nD) They set up an organization called Red Cross.\n\n### Text\n\nOne of the things that you do is to help your students understand the English language. You are an excellent teacher. One of your students wants to ask you a question. \n\nQuestion: What did the local people do to help those in the flooded area according to the passage?\n\nOptions:\nA) They put up shelter for them in a""}]",A,A,True
3,The passage tells us that   _  .,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: The passage tells us that   _  .

Options:
A) our values and lifestyles are in no field of human activity
B) the clothes that we choose to wear have something to do with our values and lifestyles
C) our values and lifestyles are from the sign language
D) the clothes we choose to wear depend on a set of information and immediate impression


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nExplanation:\nThe correct answer is: B.\n\nOption A: Our values and lifestyles are in no field of human activity\n\nIn the passage, the author talks about the clothes that people choose to wear as a way to express their values and lifestyles. This is a topic that people often discuss in social media and news articles. However, the passage is not saying that our values and lifestyles are in no field of human activity. Instead, it is saying that our values and lifestyles are in no field of human activity that has been studied in depth. \n\nOption B: The clothes that we choose to wear have something to do with our values and lifestyles\n\nThe passage talks about how people choose to wear certain clothes based on their values and lifestyles. This is a topic that people often discuss in social media and news articles. However, the passage is not saying that the clothes that we choose to wear have something to do with our values and lifestyles. Instead, it is saying that the clothes that we choose to wear have something to do with the way we choose to live our lives. \n\nOption C: Our values and lifestyles are from the sign language\n\nThe passage talks about how people choose to wear certain clothes based on their values and lifestyles. This is a topic that people often discuss in social""}]",A,B,False
4,"Traditionally,people usually thought that   _  .","From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: Traditionally,people usually thought that   _  .

Options:
A) men cared very much for clothes
B) women were concerned greatly about what they wore while men didn't
C) both men and women paid great attention to their clothes
D) neither men nor women showed interest in clothes


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nFrom now on, you are an excellent teacher. One of your students wants to ask you a question. \n\nQuestion: Traditionally,people usually thought that   _ .\n\nOptions:\nA) men cared very much for clothes\nB) women were concerned greatly about what they wore while men didn't\nC) both men and women paid great attention to their clothes\nD) neither men nor women showed interest in clothes\n\n\nExplain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.\n\n""}]",A,B,False
5,Blue collar workers pay attention to their clothes because   _  .,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: Blue collar workers pay attention to their clothes because   _  .

Options:
A) they are concerned about the impression their clothes make on their superiors
B) they know very clearly that people will judge them on the basis of their clothing
C) they want to impress and influence others
D) they don't want to be laughed at


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nCorrect answer: A""}]",A,D,False
6,The passage mainly suggests that   _  .,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: The passage mainly suggests that   _  .

Options:
A) now men pay more attention to their clothes than women do
B) women always like beautiful dresses
C) people have paid more and more attention to the importance of dress
D) American culture is changing greatly


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nAnswer: The answer is: C""}]",C,C,True
7,Tommy's mother felt surprised that his son  _  .,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: Tommy's mother felt surprised that his son  _  .

Options:
A) was still the same as usual
B) ate so much at dinner
C) kissed her hello after school
D) worked hard but said little


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nCorrect answer: C""}]",A,D,False
8,The last sentence in the passage shows that  _  .,"From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: The last sentence in the passage shows that  _  .

Options:
A) Tommy felt sorry for the man
B) Tommy was afraid of being nailed
C) Tommy didn't like the plus sign
D) Tommy liked playing jokes on others


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nA. Tommy felt sorry for the man\n\nB. Tommy was afraid of being nailed\n\nC. Tommy didn't like the plus sign\n\nD. Tommy liked playing jokes on others""}]",A,B,False
9,"From the passage, we can infer that  _  .","From now on, you are an excellent teacher. One of your students wants to ask you a question. 

Question: From the passage, we can infer that  _  .

Options:
A) teachers should be strict with their students
B) mistakes might do good sometimes
C) a catholic school is much better than other ones
D) nuns are good at helping children with their math


Explain what the correct answer is and conclude it with 'The answer is: <A/B/C/D>'.

","th 'The answer is: <A/B/C/D>'.\n\nAnswer:\nB) mistakes might do good sometimes""}]",,B,False
